종목코드,종목명,대분류,중분류,소분류
089140,넥스턴앤롤코리아,제조,기계·장비,특수 목적용 기계
089150,케이씨티,서비스,IT서비스,소프트웨어
089230,THE E&M,기타,기타,기타 정보 서비스
089470,HDC현대EP,제조,화학,기타 화학제품
089590,제주항공,운송·창고,운송·창고,운송
089600,KT나스미디어,일반서비스,미디어/엔터,광고/마케팅
089790,제이티,제조,기계·장비,반도체
089850,유비벨록스,서비스,IT서비스,소프트웨어
089860,롯데렌탈,일반서비스,일반서비스,운송장비 임대
089890,코세스,제조,기계·장비,반도체
089970,브이엠,제조,기계·장비,특수 목적용 기계
089980,상아프론테크,제조,화학,이차전지
090080,평화산업,제조,운송장비·부품,자동차부품
090150,아이윈,제조,운송장비·부품,자동차부품
090350,노루페인트,제조,화학,기타 화학제품
090360,로보스타,제조,기계·장비,특수 목적용 기계
090370,메타랩스,제조,섬유·의류,섬유/의류
090410,덕신이피씨,제조,금속,"구조용 금속제품, 탱크 및 증기발생기"
090430,아모레퍼시픽,제조,화학,화장품
090460,비에이치,제조,전기·전자,전자부품
090470,제이스텍,제조,기계·장비,디스플레이
090710,휴림로봇,제조,기계·장비,특수 목적용 기계
090850,현대이지웰,서비스,IT서비스,소프트웨어
091120,이엠텍,제조,전기·전자,전자부품
091340,S&K폴리텍,제조,전기·전자,전자부품
091440,한울소재과학,제조,전기·전자,통신장비
091580,상신이디피,제조,전기·전자,이차전지
091590,남화토건,건설,건설,건설
091700,파트론,제조,전기·전자,전자부품
091810,티웨이항공,운송·창고,운송·창고,항공 여객 운송
091970,나노캠텍,제조,화학,플라스틱제품
092040,아미코젠,제조,음식료·담배,바이오
092070,디엔에프,제조,화학,반도체
092130,이크레더블,기타,기타,기타 정보 서비스
092190,서울바이오시스,제조,전기·전자,반도체
092200,디아이씨,제조,운송장비·부품,자동차부품
092220,KEC,제조,전기·전자,반도체
092230,KPX홀딩스,제조,화학,화학
092300,현우산업,제조,전기·전자,전자부품
092440,기신정기,제조,기계·장비,특수 목적용 기계
092460,한라IMS,제조,운송장비·부품,조선
092600,앤씨앤,제조,전기·전자,반도체
092730,네오팜,제조,화학,기타 화학제품
092780,DYP,제조,운송장비·부품,자동차
092790,넥스틸,제조,금속,철강
092870,엑시콘,제조,기계·장비,반도체
093050,LF,제조,섬유·의류,섬유/의류
093190,빅솔론,제조,전기·전자,컴퓨터 및 주변장치
093240,형지엘리트,제조,섬유·의류,섬유/의류
093320,케이아이엔엑스,서비스,IT서비스,인터넷서비스
093370,후성,제조,화학,화학
093380,풍강,제조,금속,금속가공
093520,매커스,유통,전기·전자,반도체
093640,케이알엠,제조,전기·전자,반도체
093920,서원인텍,제조,전기·전자,통신장비
094170,동운아나텍,제조,전기·전자,반도체
094280,효성ITX,일반서비스,일반서비스,기타 사지원 서비스
094360,칩스앤미디어,제조,전기·전자,반도체
094480,갤럭시아머니트리,서비스,IT서비스,소프트웨어
094820,일진파워,건설,건설,전기 및 통신 공사
094840,슈프리마에이치큐,제조,전기·전자,통신장비
094850,참좋은여행,일반서비스,서비스,여행
094860,네오리진,서비스,IT서비스,소프트웨어
094940,푸른기술,제조,전기·전자,컴퓨터 및 주변장치
094970,제이엠티,제조,전기·전자,전자부품
095190,이엠코리아,제조,금속,금속가공
095270,웨이브일렉트로,제조,의료·정밀기기,"측정, 시험, 항해, 제어 및 기타 정밀기기; 광학기기 제외"
095340,ISC,유통,전기·전자,반도체
095500,미래나노텍,제조,화학,디스플레이
095570,AJ네트웍스,일반서비스,일반서비스,산용 기계 및 장비 임대
095610,테스,제조,기계·장비,반도체
095660,네오위즈,서비스,IT서비스,소프트웨어
095700,제넥신,일반서비스,건강관리,바이오
095720,웅진씽크빅,일반서비스,일반서비스,초등 교육기관
095910,에스에너지,제조,전기·전자,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치"
096240,크레버스,일반서비스,일반서비스,일반 교습 학원
096250,와이즈넛,서비스,IT서비스,소프트웨어
096350,대창솔루션,제조,금속,"구조용 금속제품, 탱크 및 증기발생기"
096530,씨젠,제조,제약,바이오
096610,알에프세미,제조,전기·전자,반도체
096630,에스코넥,제조,전기·전자,통신장비
096690,에이루트,제조,전기·전자,컴퓨터 및 주변장치
096760,JW홀딩스,금융,건강관리,제약
096770,SK이노베이션,제조,화학,정유
096870,엘디티,제조,전기·전자,반도체
097230,HJ중공업,건설,건설,건설
097520,엠씨넥스,제조,전기·전자,전자부품
097780,에코볼트,제조,운송장비·부품,자동차부품
097800,윈팩,제조,전기·전자,반도체
097870,효성오앤비,제조,화학,"비료, 농약 및 살균, 살충제"
097950,CJ제일제당,제조,음식료·담배,제약
098070,한텍,제조,기계·장비,일반 목적용 기계
098120,마이크로컨텍솔,제조,전기·전자,전자부품
098460,고영,제조,기계·장비,반도체
098660,에스티오,제조,섬유·의류,섬유/의류
099190,아이센스,제조,의료·정밀기기,의료기기
099220,SDN,유통,유통,기계장비 및 관련 물품 도매
099320,쎄트렉아이,제조,운송장비·부품,"항공기,우주선 및 부품"
099390,브레인즈컴퍼니,서비스,IT서비스,소프트웨어
099410,동방선기,제조,운송장비·부품,조선
099430,바이오플러스,제조,제약,기초 의약물질
099440,스맥,제조,기계·장비,특수 목적용 기계
099520,DGI,제조,전기·전자,가전/전자제품
099750,이지케어텍,서비스,IT서비스,소프트웨어
100030,인지소프트,서비스,IT서비스,소프트웨어
100090,SK오션플랜트,제조,금속,철강
100120,뷰웍스,제조,의료·정밀기기,의료기기
100130,동국S&C,제조,금속,건설
100220,비상교육,오락·문화,오락·문화,"서적, 잡지 및 기타 인쇄물 출판"
100250,진양홀딩스,제조,화학,플라스틱제품
100590,머큐리,제조,전기·전자,통신장비
100660,서암기계공업,제조,기계·장비,일반 목적용 기계
100700,세운메디칼,제조,제약,의료용품 및 기타 의약 관련제품
100790,미래에셋벤처투자,금융,금융,기타 금융
100840,SNT에너지,제조,기계·장비,일반 목적용 기계
101000,KS인더스트리,제조,기계·장비,특수 목적용 기계
101140,인바이오젠,유통,유통,기계장비 및 관련 물품 도매
101160,월덱스,제조,전기·전자,전자부품
101170,우림피티에스,제조,기계·장비,일반 목적용 기계
101240,씨큐브,제조,화학,화학
101330,모베이스,제조,전기·전자,통신장비
101360,에코앤드림,제조,화학,이차전지
101390,아이엠,제조,전기·전자,전자부품
101400,엔시트론,제조,전기·전자,반도체
101490,에스앤에스텍,제조,전기·전자,전자부품
101530,해태제과식품,제조,음식료·담배,기타 식품
101670,하이드로리튬,제조,금속,"구조용 금속제품, 탱크 및 증기발생기"
101680,한국정밀기계,제조,기계·장비,특수 목적용 기계
101730,위메이드맥스,서비스,IT서비스,소프트웨어
101930,인화정공,제조,운송장비·부품,조선
